"AÑO","SEMESTRE","SEXO BIOLOGICO","PROGRAMA","PAIS NACIMIENTO","DEPARTAMENTO NACIMIENTO","MUNICIPIO NACIMIENTO","NUMERO MATERIAS INSCRITAS","NUMERO MATERIAS APROBADAS","NIVEL_ACADEMICO","ESTRATO"
"2024","2","F","ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO","Colombia","Antioquia","Medellín","8","8","Pregrado","3"
"2024","2","F","ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO","Colombia","Antioquia","Envigado","8","8","Pregrado","3"
"2024","2","M","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Tarazá","8","8","Pregrado","2"
"2024","2","M","TECNOLOGÍA EN DESARROLLO COMUNITARIO","Colombia","Antioquia","Medellín","5","5","Pregrado","2"
"2024","2","F","TECNOLOGIA EN GESTION CATASTRAL Y AGRIMENSURA","Colombia","Putumayo","Puerto Asís","7","7","Pregrado","1"
"2024","2","F","PUBLICIDAD Y MERCADEO DIGITAL","Colombia","Archipiélago de San Andrés, Providencia y Santa Catalina","San Andrés","8","0","Pregrado","2"
"2024","2","F","TRABAJO SOCIAL","Colombia","Antioquia","Arboletes","5","4","Pregrado","1"
"2024","2","F","ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS","Colombia","Antioquia","Medellín","6","6","Posgrado","3"
"2024","2","M","INGENIERÍA MECATRÓNICA","Colombia","Antioquia","Santa Fé de Antioquia","7","6","Pregrado","1"
"2024","2","F","TRABAJO SOCIAL","Colombia","Antioquia","Medellín","6","6","Pregrado","2"
"2024","2","F","PUBLICIDAD Y MERCADEO DIGITAL","Colombia","Antioquia","Medellín","8","5","Pregrado","2"
"2024","2","M","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Medellín","8","8","Pregrado","3"
"2024","2","F","PUBLICIDAD Y MERCADEO DIGITAL","Colombia","Antioquia","San Luis","7","6","Pregrado","2"
"2024","2","F","TECNOLOGÍA EN DESARROLLO COMUNITARIO","Colombia","Magdalena","Santa Marta","5","5","Pregrado","1"
"2024","2","M","ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS","Colombia","Antioquia","Medellín","6","6","Posgrado","3"
"2024","2","F","TRABAJO SOCIAL","Colombia","Magdalena","Sitionuevo","6","6","Pregrado","1"
"2024","2","M","TRABAJO SOCIAL","Colombia","Antioquia","Medellín","5","5","Pregrado","2"
"2024","2","M","ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO","Colombia","Antioquia","Retiro","8","8","Pregrado","3"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","La Ceja","8","4","Pregrado","2"
"2024","2","M","PUBLICIDAD Y MERCADEO DIGITAL","Colombia","Antioquia","Caucasia","8","8","Pregrado","2"
"2024","2","F","CIENCIAS AMBIENTALES","Colombia","Antioquia","Rionegro","6","6","Pregrado","3"
"2024","2","F","TECNOLOGIA EN GESTION CATASTRAL Y AGRIMENSURA","Colombia","Antioquia","Apartadó","8","8","Pregrado","3"
"2024","2","M","Ingeniería de Software y Datos","Colombia","Antioquia","Rionegro","5","5","Pregrado","3"
"2024","2","M","TECNOLOGÍA EN DESARROLLO DE SOFTWARE","Colombia","Antioquia","Medellín","8","8","Pregrado","3"
"2024","2","F","TECNOLOGÍA EN DESARROLLO COMUNITARIO","Colombia","Antioquia","San José de La Montaña","5","3","Pregrado","2"
"2024","2","F","ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO","Colombia","Antioquia","Santa Fé de Antioquia","7","7","Pregrado","2"
"2024","2","F","TRABAJO SOCIAL","Colombia","Risaralda","Quinchía","5","5","Pregrado","1"
"2024","2","F","TRABAJO SOCIAL","Colombia","Córdoba","San Andrés de Sotavento","5","2","Pregrado","1"
"2024","2","M","PUBLICIDAD Y MERCADEO DIGITAL","Colombia","Caldas","Chinchiná","8","8","Pregrado","3"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS","Colombia","Bogotá, D.C.","Bogotá, D.C.","8","8","Pregrado","2"
"2024","2","M","TRABAJO SOCIAL","Colombia","Antioquia","Medellín","6","6","Pregrado","3"
"2024","2","M","CIENCIAS AMBIENTALES","Colombia","Antioquia","Turbo","7","7","Pregrado","1"
"2024","2","F","PUBLICIDAD Y MERCADEO DIGITAL","Colombia","Antioquia","Turbo","8","4","Pregrado","2"
"2024","2","M","Ingeniería de Software y Datos","Colombia","Antioquia","Apartadó","6","6","Pregrado","1"
"2024","2","M","ADMINISTRACIÓN DE EMPRESAS","Colombia","Bogotá, D.C.","Bogotá, D.C.","8","8","Pregrado","3"
"2024","2","M","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Envigado","8","8","Pregrado","2"
"2024","2","M","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Arboletes","8","1","Pregrado","1"
"2024","2","F","ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO","Colombia","Antioquia","Medellín","7","7","Pregrado","2"
"2024","2","F","ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO","Colombia","Antioquia","Caldas","8","7","Pregrado","1"
"2024","2","F","PUBLICIDAD Y MERCADEO DIGITAL","Colombia","Antioquia","Medellín","8","0","Pregrado","2"
"2024","2","F","TRABAJO SOCIAL","Colombia","Norte de Santander","Ábrego","6","6","Pregrado","2"
"2024","2","F","ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS","Colombia","Antioquia","Itagüí","6","6","Posgrado","3"
"2024","2","F","TECNOLOGÍA EN GESTIÓN COMERCIAL AGROEMPRESARIAL","Colombia","Antioquia","Itagüí","5","5","Pregrado","2"
"2024","2","F","ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS","Colombia","Antioquia","Betania","6","6","Posgrado","2"
"2024","2","M","ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS","Colombia","Bogotá, D.C.","Bogotá, D.C.","6","6","Posgrado","3"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS Y HOTELERAS","Colombia","Bogotá, D.C.","Bogotá, D.C.","7","1","Pregrado","2"
"2024","2","M","ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS Y HOTELERAS","Colombia","Bogotá, D.C.","Bogotá, D.C.","7","0","Pregrado","2"
"2024","2","M","INGENIERÍA MECATRÓNICA","Colombia","Huila","La Plata","7","7","Pregrado","2"
"2024","2","M","CIENCIAS AMBIENTALES","Colombia","Antioquia","Mutatá","7","5","Pregrado","1"
"2024","2","M","ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS","Colombia","Antioquia","Medellín","5","5","Posgrado","3"
"2024","2","M","Ingeniería de Software y Datos","Colombia","Antioquia","Medellín","6","6","Pregrado","3"
"2024","2","M","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Urrao","8","0","Pregrado","3"
"2024","2","M","TECNOLOGÍA EN DESARROLLO DE SOFTWARE","Colombia","Antioquia","Medellín","8","8","Pregrado","3"
"2024","2","F","ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO","Colombia","Antioquia","Copacabana","7","7","Pregrado","2"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Yolombó","8","8","Pregrado","1"
"2024","2","M","ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO","Colombia","Antioquia","Caucasia","8","3","Pregrado","2"
"2024","2","M","ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO","Colombia","Bolívar","Cartagena de Indias","8","8","Pregrado","2"
"2024","2","M","TECNOLOGÍA EN DESARROLLO DE SOFTWARE","Colombia","Caldas","Manizales","8","2","Pregrado","2"
"2024","2","F","CIENCIAS AMBIENTALES","Colombia","Córdoba","Montería","8","8","Pregrado","1"
"2024","2","F","TRABAJO SOCIAL","Colombia","Bolívar","Cartagena de Indias","6","6","Pregrado","2"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS","Colombia","Huila","Colombia","7","7","Pregrado","2"
"2024","2","F","PUBLICIDAD Y MERCADEO DIGITAL","Colombia","Bogotá, D.C.","Bogotá, D.C.","8","0","Pregrado","2"
"2024","2","M","TECNOLOGÍA EN DESARROLLO DE SOFTWARE","Colombia","Antioquia","Medellín","6","1","Pregrado","3"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Medellín","6","2","Pregrado","3"
"2024","2","M","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Medellín","8","8","Pregrado","3"
"2024","2","M","TECNOLOGIA EN GESTION CATASTRAL Y AGRIMENSURA","Colombia","Bogotá, D.C.","Bogotá, D.C.","8","8","Pregrado","2"
"2024","2","F","ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO","Colombia","Antioquia","Medellín","8","8","Pregrado","3"
"2024","2","M","TECNOLOGÍA EN DESARROLLO DE SOFTWARE","Colombia","Antioquia","Bello","1","1","Pregrado","3"
"2024","2","M","Ingeniería de Software y Datos","Colombia","Santander","Barrancabermeja","6","4","Pregrado","2"
"2024","2","M","TECNOLOGIA EN GESTION CATASTRAL Y AGRIMENSURA","Colombia","Antioquia","Santa Bárbara","8","8","Pregrado","1"
"2024","2","M","TECNOLOGIA EN GESTION CATASTRAL Y AGRIMENSURA","Colombia","Antioquia","La Ceja","7","2","Pregrado","2"
"2024","2","F","TECNOLOGÍA EN DESARROLLO DE SOFTWARE","Colombia","Antioquia","Guarne","8","8","Pregrado","3"
"2024","2","F","PUBLICIDAD Y MERCADEO DIGITAL","Colombia","Antioquia","Medellín","8","0","Pregrado","2"
"2024","2","F","ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO","Colombia","Antioquia","Entrerríos","8","5","Pregrado","3"
"2024","2","F","TRABAJO SOCIAL","Colombia","Antioquia","Briceño","6","5","Pregrado","2"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Medellín","8","8","Pregrado","2"
"2024","2","M","INGENIERÍA MECATRÓNICA","Colombia","Antioquia","Frontino","7","0","Pregrado","1"
"2024","2","F","TRABAJO SOCIAL","Colombia","Antioquia","Caucasia","5","5","Pregrado","2"
"2024","2","M","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Támesis","8","8","Pregrado","2"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Caucasia","8","7","Pregrado","2"
"2024","2","M","ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS","Colombia","Caldas","Supía","6","5","Posgrado","2"
"2024","2","M","ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO","Colombia","Magdalena","San Sebastián de Buenavista","8","8","Pregrado","1"
"2024","2","M","ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS Y HOTELERAS","Colombia","La Guajira","Riohacha","4","4","Pregrado","2"
"2024","2","F","TRABAJO SOCIAL","Colombia","Santander","Girón","5","0","Pregrado","2"
"2024","2","M","TECNOLOGÍA EN DESARROLLO COMUNITARIO","Colombia","Chocó","Quibdó","4","0","Pregrado","2"
"2024","2","F","Tecnología en Gestión Logística Portuaria y del Transporte","Colombia","Antioquia","Turbo","5","0","Pregrado","2"
"2024","2","F","PUBLICIDAD Y MERCADEO DIGITAL","Colombia","Antioquia","Apartadó","7","6","Pregrado","2"
"2024","2","F","ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO","Colombia","Antioquia","Medellín","8","8","Pregrado","2"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS Y HOTELERAS","Colombia","Bogotá, D.C.","Bogotá, D.C.","3","3","Pregrado","2"
"2024","2","M","TRABAJO SOCIAL","Colombia","Atlántico","Barranquilla","6","6","Pregrado","1"
"2024","2","M","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Medellín","8","8","Pregrado","1"
"2024","2","M","CIENCIAS AMBIENTALES","Colombia","Antioquia","Chigorodó","6","2","Pregrado","2"
"2024","2","F","Licenciatura en Educación Básica Primaria","Colombia","Antioquia","San Juan de Urabá","6","6","Pregrado","1"
"2024","2","F","TRABAJO SOCIAL","Colombia","Antioquia","Maceo","5","0","Pregrado","1"
"2024","2","M","TECNOLOGIA EN GESTION CATASTRAL Y AGRIMENSURA","Colombia","Antioquia","Fredonia","8","8","Pregrado","2"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS","Colombia","Valle del Cauca","Calima","8","8","Pregrado","1"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS Y HOTELERAS","Colombia","Magdalena","Santa Ana","7","7","Pregrado","1"
"2024","2","M","TRABAJO SOCIAL","Colombia","Antioquia","Medellín","5","0","Pregrado","2"
"2024","2","F","TRABAJO SOCIAL","Colombia","Antioquia","Medellín","6","6","Pregrado","3"
"2024","2","F","PUBLICIDAD Y MERCADEO DIGITAL","Colombia","Antioquia","Itagüí","4","4","Pregrado","2"
"2024","2","M","Ingeniería de Software y Datos","Colombia","Antioquia","Amagá","6","6","Pregrado","3"
"2024","2","M","CIENCIAS AMBIENTALES","Colombia","Antioquia","San Andrés de Cuerquía","7","7","Pregrado","2"
"2024","2","F","TRABAJO SOCIAL","Colombia","Antioquia","Santa Fé de Antioquia","6","6","Pregrado","1"
"2024","2","F","TRABAJO SOCIAL","Colombia","Antioquia","Santa Bárbara","5","5","Pregrado","1"
"2024","2","M","ESPECIALIZACIÓN EN ANÁLITICA Y  BIG DATA","Colombia","Antioquia","Támesis","4","4","Posgrado","3"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Santa Bárbara","8","8","Pregrado","3"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Medellín","8","0","Pregrado","3"
"2024","2","M","Ingeniería de Software y Datos","Colombia","Bogotá, D.C.","Bogotá, D.C.","6","6","Pregrado","2"
"2024","2","M","PUBLICIDAD Y MERCADEO DIGITAL","Colombia","Antioquia","Turbo","8","8","Pregrado","1"
"2024","2","M","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Chigorodó","8","0","Pregrado","3"
"2024","2","F","TRABAJO SOCIAL","Colombia","Antioquia","Copacabana","5","1","Pregrado","3"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Medellín","8","8","Pregrado","3"
"2024","2","M","Ingeniería de Software y Datos","Colombia","Antioquia","Medellín","6","6","Pregrado","3"
"2024","2","M","ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS","Colombia","Antioquia","Medellín","6","6","Posgrado","4"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Caucasia","6","4","Pregrado","1"
"2024","2","F","TECNOLOGÍA EN DESARROLLO COMUNITARIO","Colombia","Antioquia","San Rafael","5","5","Pregrado","2"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","El Bagre","8","8","Pregrado","2"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Andes","8","8","Pregrado","1"
"2024","2","F","PUBLICIDAD Y MERCADEO DIGITAL","Colombia","Antioquia","Medellín","7","7","Pregrado","3"
"2024","2","M","TRABAJO SOCIAL","Colombia","Meta","Villavicencio","5","0","Pregrado","1"
"2024","2","F","CIENCIAS AMBIENTALES","Colombia","Antioquia","Cáceres","8","0","Pregrado","1"
"2024","2","F","ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO","Colombia","Bogotá, D.C.","Bogotá, D.C.","8","8","Pregrado","2"
"2024","2","M","CIENCIAS AMBIENTALES","Colombia","Risaralda","Pereira","7","4","Pregrado","1"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Dabeiba","8","8","Pregrado","1"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS Y HOTELERAS","Colombia","Magdalena","Ciénaga","8","8","Pregrado","1"
"2024","2","M","TECNOLOGÍA EN DESARROLLO DE SOFTWARE","Colombia","Quindío","Montenegro","1","1","Pregrado","2"
"2024","2","F","TRABAJO SOCIAL","Colombia","Magdalena","El Piñón","6","6","Pregrado","1"
"2024","2","F","ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO","Colombia","Antioquia","Santa Rosa de Osos","8","6","Pregrado","3"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Anorí","8","8","Pregrado","2"
"2024","2","M","Licenciatura en Educación Básica Primaria","Colombia","Antioquia","Medellín","6","0","Pregrado","2"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Uramita","8","8","Pregrado","1"
"2024","2","F","ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO","Colombia","Magdalena","Santa Marta","7","7","Pregrado","1"
"2024","2","M","PUBLICIDAD Y MERCADEO DIGITAL","Colombia","Antioquia","Medellín","7","7","Pregrado","3"
"2024","2","F","ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO","Colombia","Antioquia","Guadalupe","7","6","Pregrado","1"
"2024","2","F","TRABAJO SOCIAL","Colombia","Antioquia","Mutatá","7","7","Pregrado","2"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Sabaneta","7","7","Pregrado","3"
"2024","2","M","PUBLICIDAD Y MERCADEO DIGITAL","Colombia","Boyacá","Tunja","8","8","Pregrado","2"
"2024","2","M","PUBLICIDAD Y MERCADEO DIGITAL","Colombia","Antioquia","Barbosa","8","8","Pregrado","2"
"2024","2","F","ESPECIALIZACIÓN EN ANÁLITICA Y  BIG DATA","Colombia","Valle del Cauca","Santiago de Cali","4","4","Posgrado","3"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Medellín","8","8","Pregrado","2"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Peñol","8","8","Pregrado","2"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Caucasia","8","0","Pregrado","1"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Medellín","8","8","Pregrado","2"
"2024","2","F","ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO","Colombia","Antioquia","San Pedro de Los Milagros","8","8","Pregrado","3"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS","Colombia","Bolívar","Simití","8","8","Pregrado","3"
"2024","2","M","ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO","Colombia","Nariño","Barbacoas","8","0","Pregrado","1"
"2024","2","M","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Yarumal","8","7","Pregrado","2"
"2024","2","F","PUBLICIDAD Y MERCADEO DIGITAL","Colombia","Antioquia","Medellín","7","7","Pregrado","3"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Medellín","8","4","Pregrado","2"
"2024","2","F","ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO","Colombia","Antioquia","Chigorodó","7","6","Pregrado","1"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS Y HOTELERAS","Colombia","Bogotá, D.C.","Bogotá, D.C.","7","7","Pregrado","3"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Itagüí","6","4","Pregrado","2"
"2024","2","M","TRABAJO SOCIAL","Colombia","Antioquia","Medellín","5","5","Pregrado","1"
"2024","2","F","ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO","Colombia","Antioquia","Entrerríos","8","8","Pregrado","2"
"2024","2","F","Licenciatura en Educación Básica Primaria","Colombia","Antioquia","San Pedro de Urabá","6","4","Pregrado","1"
"2024","2","M","PUBLICIDAD Y MERCADEO DIGITAL","Colombia","Antioquia","Medellín","8","8","Pregrado","4"
"2024","2","F","ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO","Colombia","Antioquia","Amagá","8","8","Pregrado","1"
"2024","2","M","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Arboletes","8","8","Pregrado","1"
"2024","2","F","ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO","Colombia","Antioquia","Medellín","8","7","Pregrado","2"
"2024","2","M","ADMINISTRACIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO","Colombia","Antioquia","San Carlos","8","7","Pregrado","3"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS","Colombia","Antioquia","Medellín","8","8","Pregrado","3"
"2024","2","M","Ingeniería de Software y Datos","Colombia","Antioquia","Medellín","5","1","Pregrado","1"
"2024","2","M","TRABAJO SOCIAL","Colombia","Antioquia","Itagüí","5","0","Pregrado","1"
"2024","2","M","ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS","Colombia","Antioquia","Yarumal","6","6","Posgrado","4"
"2024","2","F","ADMINISTRACIÓN DE EMPRESAS","Colombia","Bogotá, D.C.","Bogotá, D.C.","8","8","Pregrado","1"
"2024","2","F","PUBLICIDAD Y MERCADEO DIGITAL","Colombia","Antioquia","Tarazá","8","8","Pregrado","3"
"2024","2","M","TECNOLOGÍA EN DESARROLLO DE SOFTWARE","Colombia","Antioquia","Copacabana","8","1","Pregrado","2"
"2024","2","F","ESPECIALIZACIÓN EN ANÁLITICA Y  BIG DATA","Colombia","Antioquia","Medellín","4","4","Posgrado","3"
